"Video Name","Video Description","Brightcove ID","Vertical Section","Verticals","Show","Season Number","Thumbnail","thePlatform guid","thePlatform PID","Geo Restriction","People","Keywords","Keywords Text","Categories","Transcript/quote","link","Longform","Date Created","Duration","Locales","Encoding","filename"
"MANKIND The Story of All of Us: African Slave Trade","Slavery has been a constant in human history for thousands of years, but it was industrialised when Africans were shipped across the Atlantic.","2125981530001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/423/22204771001_2126027975001_961896998-134-1359469774925.jpg"" />","bc_2125981530001","ugm2L_4xSEWu","All","","","","","","","No","28/03/2013 20:35","190.381","pl, ro","","",
"MANKIND The Story of All of Us: The Amazing ALCAN Highway","The ALCAN Highway was built during WWII by a group of mainly African American engineers and workers. It was an amazing feat of engineering.","2125921070001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/423/22204771001_2173925775001_961896998-136-1361207660112.jpg"" />","bc_2125921070001","vMU3PO7RyrQm","All","","","","","","","No","28/03/2013 20:36","177.285","pl, ro","","",
"MANKIND The Story of All of Us: Iron Age","Bronze was good, but iron was better. It lead to the development of technology in weaponry.","1977995889001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/971/22204771001_1978048209001_ari-origin29-arc-4906-1353342452144.jpg"" />","bc_1977995889001","_nO9runDwFMz","All","","","","","","","No","28/03/2013 20:36","171.735","pl, ro","","",
"MANKIND The Story of All of Us: Fire","Fire was vital to our development as a species, from bonding communities to killing bacteria and making food more digestible.","1853813648001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/971/22204771001_1858588534001_ari-origin29-arc-154-1348499014100.jpg"" />","bc_1853813648001","zmUCxBPLyxs3","All","","","","","","","No","28/03/2013 20:35","167.486","pl, ro","","",
"MANKIND The Story of All of Us: Spanish Silver","The Spanish went looking for gold but found vast amounts of silver in Latin America. It was used as currency and lead to a global trade explosion.","2125980927001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/423/22204771001_2126027980001_961896998-139-1359470129233.jpg"" />","bc_2125980927001","EInpyPBCwblG","All","","","","","","","No","28/03/2013 20:35","170.806","pl, ro","","",
"MANKIND The Story of All of Us: Fur Trade","The New World was full of opportunities for fur traders, but he European expansion into America to gather pelts came at the expense of the indigenous population as well as the animals.","2125981527001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/947/22204771001_2147805754001_961896998-157-1360239147028.jpg"" />","bc_2125981527001","on9T6b9AtNV7","All","","","","","","","No","28/03/2013 20:35","174.667","pl, ro","","",
"MANKIND The Story of All of Us: Opium Trade","In the 18th century the British East India Company imported opium in enormous quantities from India to China so it could buy the goods it wanted from the Chinese. Then came the Opium War.","2125898499001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/971/22204771001_2148937133001_961896998-139-1360251138789.jpg"" />","bc_2125898499001","K9WSWeuVDCy2","All","","","","","","","No","28/03/2013 20:36","187.641","pl, ro","","",
"MANKIND The Story of All of Us: American Railroad","Before the railways the only way to move goods across the US was by water. The Americans looked at what had been achieved by Britain’s rail network and took it to a continental scale.","2125921078001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/423/22204771001_2148937120001_961896998-139-1360250621865.jpg"" />","bc_2125921078001","yjBk62gOLriG","All","","","","","","","No","28/03/2013 20:35","180.234","pl, ro","","",
"MANKIND The Story of All of Us: Columbus Sails West","Probably the most famous wrong turn of all time: Columbus was heading East trying to find a new spice trade route and he ended up in the Americas.","1896715043001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/971/22204771001_2031046490001_961896998-129-1355329622500.jpg"" />","bc_1896715043001","kQ1jOkj9JYWZ","All","","","","","","","No","28/03/2013 20:35","177.122","pl, ro","","",
"MANKIND The Story of All of Us: Corn","The people of the Americas took a simple, grassy weed and cultivated it to become the superfood we know today. Corn is now found in a third of all products in the supermarket. A-Maize-ing.","1896868531001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/971/22204771001_2031046476001_961896998-174-1355328837375.jpg"" />","bc_1896868531001","jlpDtSw2C_6W","All","","","","","","","No","28/03/2013 20:35","151.334","pl, ro","","",
"Mankind The Story of All of Us: Aqueducts","To be thirsty in Rome was unthinkable. Romans found a source of water 40 miles away and built aqueducts to bring it into the city with an amazing and beautiful feat of engineering.","1870406102001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/423/22204771001_1874208813001_ari-origin29-arc-129-1349261016379.jpg"" />","bc_1870406102001","Sw8Me7P3eyue","All","","","","","","","No","28/03/2013 20:35","172.455","pl, ro","","",
"MANKIND The Story of All of Us: Roman Roads","What have the Romans ever done for us? Except for roads… The Romans built the first highways across Europe, and the routes of many Roman roads are still in use today. If it's a long, straight road the chances are its Roman.","1870436389001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/947/22204771001_1876809159001_ari-origin29-arc-180-1349350286712.jpg"" />","bc_1870436389001","Cg6Qfpj_pZiT","All","","","","","","","No","28/03/2013 20:35","131.565","pl, ro","","",
"MANKIND The Story of All of Us: Civil Rights Movement","A peaceful protest for the civil rights of African Americans turned into a bloodbath which was shown in television news reports around the world.","2125897586001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/423/22204771001_2125981460001_vs-5107c006e4b0288e168d372a-1471893705001.jpg"" />","bc_2125897586001","DyG3VLfOqxdW","All","","","","","","","No","28/03/2013 20:35","164.200","pl, ro","","",
"MANKIND The Story of All of Us: The Silk Road","The Silk Road was the world's first commercial highway. China produced the silk and Rome wanted the silk, so a network or routes grew up between the East and West.","1870406103001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/423/22204771001_1870591814001_vs-50699dbb3ed2b0e4ee9bd04f-806787297001.jpg"" />","bc_1870406103001","50irRHtn_6dA","All","","","","","","","No","28/03/2013 20:35","176.728","pl, ro","","",
"MANKIND The Story of All of Us: Rise of the Incas","Find out about the Incas, the largest empire in the Americas, and why the dead were such an important part of their culture.","1853808621001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/423/22204771001_1858588539001_ari-origin29-arc-144-1348499119997.jpg"" />","bc_1853808621001","NbJi_3ggfsQo","All","","","","","","","No","28/03/2013 20:35","215.435","pl, ro","","",
"MANKIND The Story of All of Us: The First Crusade","Pope Urban told Christian knights that they could sin as much as they liked and still get to heaven by going on crusade to the Holy Land to kill non-believers in the faith.","1870406099001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/423/22204771001_1877154668001_ari-origin29-arc-181-1349357450137.jpg"" />","bc_1870406099001","TqB_mcL9__el","All","","","","","","","No","28/03/2013 20:35","177.889","pl, ro","","",
"MANKIND The Story of All of Us: Cholera","London in the 1850s was a wonderful place, if you ignore the complete lack of infrastructure. Sewage and water mixed to form the perfect breeding ground for cholera. John Snow was the epidemiologist who worked out how the disease spread.","2125898495001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/947/22204771001_2148937139001_961896998-168-1360251491773.jpg"" />","bc_2125898495001","fPGkda_F7Wa7","All","","","","","","","No","28/03/2013 20:35","161.286","pl, ro","","",
"MANKIND The Story of All of Us: Bronze","About 3,000BC our ancestors alloyed copper with tin to make a revolutionary new metal - bronze. It made stronger tools and more importantly, weapons, which were almost unbeatable against more primitive versions.","1853808598001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/971/22204771001_1858588548001_ari-origin29-arc-164-1348499348687.jpg"" />","bc_1853808598001","JeR0VSFO2AnD","All","","","","","","","No","28/03/2013 20:35","135.048","pl, ro","","",
"MANKIND The Story of All of Us: Salem Witch Trials","The Salem witch trials were all about the fear of women and their independence, which was seen by many in the community as a threat to Puritan values.","2125921082001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/423/22204771001_2147805746001_961896998-157-1360238764611.jpg"" />","bc_2125921082001","UBA_hzDJAfEb","All","","","","","","","No","28/03/2013 20:35","175.134","pl, ro","","",
"Mankind The Story of All of Us: Birth of Farming","We were great at hunting and gathering but it all changed when we learned to farm. The birth of agriculture lead to the beginning of civilisation as we know it today.","1870271278001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/447/22204771001_1874208769001_ari-origin29-arc-146-1349258800096.jpg"" />","bc_1870271278001","3MKI8PRO9Da3","All","","","","","","","No","28/03/2013 20:35","186.132","pl, ro","","",
"Mankind The Story of All of Us: Domesticating the Dog","CONTAINS SCENES SOME MAY FIND UPSETTING. How did the dog go from a deadly adversary to man’s best friend?","1853813632001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/995/22204771001_1858588526001_ari-origin29-arc-164-1348498779510.jpg"" />","bc_1853813632001","JmrS6hPMMyjS","All","","","","","","","No","28/03/2013 20:35","137.207","pl, ro","","",
"Mankind The Story of All of Us: Building the Pyramids","Ancient Egyptians built man made mountains to house their dead. The pyramids we know today have steps from the bottom to the top, but they were originally flawlessly smooth. Experts are still arguing over how this was achieved.","1853813639001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/971/22204771001_1858588532001_ari-origin29-arc-154-1348498972437.jpg"" />","bc_1853813639001","Ei04DVgMmObe","All","","","","","","","No","28/03/2013 20:35","185.644","pl, ro","","",
"MANKIND The Story of All of Us: Jewish Exile in Babylon","The Babylonian Exile was the first time the oral traditions of the Jewish people were written down to become the Hebrew Bible.","1870406098001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/447/22204771001_1877154599001_ari-origin29-arc-160-1349352092709.jpg"" />","bc_1870406098001","EMEDs1rznb54","All","","","","","","","No","28/03/2013 20:35","173.314","pl, ro","","",
"MANKIND The Story of All of Us: Genghis Khan","Genghis Khan: the ruthless, intelligent leader of the Mongols, a military genius who used physical and psychological warfare to build a vast empire. Why was he a monster to some and a hero to others?","1853808623001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/423/22204771001_1858588543001_ari-origin29-arc-159-1348499137372.jpg"" />","bc_1853808623001","Hc6F1MLSLYrf","All","","","","","","","No","28/03/2013 20:35","210.768","pl, ro","","",
"Mankind The Story of All of Us: Gunpowder to Guns","We have the Chinese to thank for gunpowder, but when they invented it they were actually looking for the elixir of life! Gunpowder started as a toy but led to an arms race which has never ended.","1853813636001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/447/22204771001_1858588528001_ari-origin29-arc-154-1348498896597.jpg"" />","bc_1853813636001","Fq7KQlpys78_","All","","","","","","","No","28/03/2013 20:35","191.403","pl, ro","","",
"MANKIND The Story of All of Us: The Plague","The plague came from the East on the Silk Road, a super highway of disease. It spread through the Mediterranean and up into Northern Europe, leaving death in its wake and changing society forever. But was that change for the better?","1870436396001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/971/22204771001_1874208779001_ari-origin29-arc-150-1349259674269.jpg"" />","bc_1870436396001","MwBXicILhP3b","All","","","","","","","No","28/03/2013 20:35","204.034","pl, ro","","",
"Mankind The Story of All of Us: Birth of Christianity","To be an early Christian was to take your life in your hands. It was the religion of the poor, the dispossessed and slaves. Rome tried to stamp out the new religion by killing Christians, but creating martyrs only helped it to spread across Europe.","1870271273001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/995/22204771001_1876809162001_ari-origin29-arc-130-1349351179281.jpg"" />","bc_1870271273001","wWD1fSXM6f2A","All","","","","","","","No","28/03/2013 20:35","200.621","pl, ro","","",
"AX MEN 6 EP 9 CLIP 2","","","","","Ax Men","6","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/63/AX_MEN_6_EP_9_CLIP_2_still_720x406_39214147751.jpg"" />","39B74DBA-9407-25C5-B422-2EDEAD782934","5rLHC6kAO8_t","All","","","","","","","No","30/07/2013 9:18","102.516","pl, ro","","",
"History_Ice-Road-Truckers_616_Target_Practice_SF","","1799091060001","","","Ice Road Truckers","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/591/22204771001_1799131033001_vs-503505b03781b0e44a418215-782203287001.jpg"" />","bc_1799091060001","Oa9PeIUM1kcX","All","","","","","","","No","28/03/2013 20:26","134.908","pl, ro","","",
"History_Ice-Road-Truckers_612_The_Polar_Bear_SF","","1799125026001","","","Ice Road Truckers","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/591/22204771001_1799131914001_vs-503505f0ab67b0e44f197b9c-1206954754001.jpg"" />","bc_1799125026001","GGfpPB7HwDWn","All","","","","","","","No","28/03/2013 20:26","144.452","pl, ro","","",
"History_Ice-Road-Truckers_609_Original_Trucker_SF","","1799129463001","","","Ice Road Truckers","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/67/22204771001_1799133409001_vs-50350624e7b5b0e4bce3a82c-1592194015001.jpg"" />","bc_1799129463001","_3RtU92vO6b3","All","","","","","","","No","28/03/2013 20:26","166.371","pl, ro","","",
"TDIH Aug 15","","24694633001","August","15","","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/823/22204771001_24700119001_vs-22204771001-vid24694962001-img0000.jpg"" />","bc_24694633001","sWKCUcLFYyet","All","","","","","","","No","02/04/2013 14:33","55.149","pl, ro","","",
"Decoded 2: Breaking into Area 51","Does Area 51 contain debris from an alien space craft which crash landed on earth years ago?","2484260021001","","","Brad Meltzer&#039;s Decoded","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/198/Decoded_Ep_7_Clip_5_still_720x406_33746499639.jpg"" />","D4C9F596-2B2D-99CB-1104-52C375362DA1","4Scxj80V7Q1F","All","","DUPLICATE","","","","","No","17/06/2013 15:31","183.360","pl, ro","","",
"Pawn Stars UK: Body Snatchers","A Victorian aged skeleton, murder, body snatchers....this one must be a case for resident historian Simon.","","","","Pawn Stars UK","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/263/PSUK_Vicky_Bones_still_720x406_36149315889.jpg"" />","11EA62D6-01F5-E25F-3B32-AF4AEC0F30D4","eNooLOyKFAq7","All","","","","","","","No","05/07/2013 14:44","119.397","pl, ro","","",
"TDIH Jun 28","","25183027001","June","28","","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/703/22204771001_25187884001_vs-22204771001-vid25186704001-img0000.jpg"" />","bc_25183027001","R8hu9NJhY8Vl","All","","","","","","","No","02/04/2013 15:04","55.306","pl, ro","","",
"Binnenkort te zien in 2013","Als je dacht dat 2012 een goed jaar was, kijk  dan maar eens wat we in 2013 in petto hebben op het HISTORY-kanaal","2046818613001","","","","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/595/22204771001_2049749797001_961896998-164-1356103456222.jpg"" />","bc_2046818613001","6PE1epgfWP3v","All","","","","","","","No","03/04/2013 16:17","60.326","pl, ro","","",
"TDIH May 1","","24960838001","May","1","","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/347/22204771001_24960005001_vs-22204771001-vid24959847001-img0000.jpg"" />","bc_24960838001","hbs9uRO3s_al","All","","","","","","","No","02/04/2013 14:26","55.123","pl, ro","","",
"TDIH Aug 12","","24683587001","August","12","","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/275/22204771001_24693520001_vs-22204771001-vid24693202001-img0000.jpg"" />","bc_24683587001","9H8a3zll_JWQ","All","","","","","","","No","02/04/2013 14:41","55.202","pl, ro","","",
"TDIH Jun 22","","25176561001","June","22","","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/703/22204771001_25182453001_vs-22204771001-vid25179961001-img0000.jpg"" />","bc_25176561001","_l_I10gOH_Of","All","","","","","","","No","02/04/2013 15:05","55.071","pl, ro","","",
"TDIH Oct 25","","25954434001","October","25","","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/154/22204771001_25962147001_vs-22204771001-vid25956841001-img0000.jpg"" />","bc_25954434001","t_ERq3XEGXpC","All","","","","","","","No","02/04/2013 15:04","55.802","pl, ro","","",
"WWII Europe's Secret Army","Kijk naar WWII Europe's Secret Army vanaf vrijdag 7 september om 21.00 uur","1812822817001","","","","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/547/22204771001_1812853755001_vs-503e36692d76b0e4c736fc62-1083021587001.jpg"" />","bc_1812822817001","Z__KZaGCF8ba","All","","","","","","","No","03/04/2013 16:31","30.280","pl, ro","","",
"Decoded 2: Mount Rushmore","Find out more about the famous Mount Rushmore and what it was like to work on its creation.","2484306841001","","","Brad Meltzer&#039;s Decoded","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/198/Decoded_Ep_3_Clip_2_still_720x406_33746499637.jpg"" />","D2F0EF9A-F2E7-5A17-8E42-52C37536ADE6","mV9FOJwEfKds","All","","DUPLICATE","","","","","No","17/06/2013 15:31","181.650","pl, ro","","",
"TDIH Mar 7","","24621824001","March","7","","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/275/22204771001_24626927001_vs-22204771001-vid24621359001-img0000.jpg"" />","bc_24621824001","4U42YjoENcmm","All","","","","","","","No","02/04/2013 14:36","55.202","pl, ro","","",
"TDIH Aug 9","","24682067001","August","9","","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/751/22204771001_24690492001_vs-22204771001-vid24688778001-img0000.jpg"" />","bc_24682067001","a1XBM1U7OYMy","All","","","","","","","No","02/04/2013 14:50","55.149","pl, ro","","",
"Decoded 2: Spear of Destiny","Find out about the Spear of Destiny, it's powers and where it is supposedly kept.","2484260029001","","","Brad Meltzer&#039;s Decoded","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/198/Decoded_Ep_6_Clip_4_still.jpg"" />","9FC927E1-5AC1-9F80-0578-52C37536D6FA","_SQmSYcxzARQ","All","","DUPLICATE","","","","","No","17/06/2013 15:31","185.323","pl, ro","","",
"TDIH Jun 17","","25176485001","June","17","","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/655/22204771001_25176659001_vs-22204771001-vid25175046001-img0000.jpg"" />","bc_25176485001","98j5OQT4KZGs","All","","","","","","","No","02/04/2013 15:19","55.463","pl, ro","","",
"TDIH Oct 30","","25956576001","October","30","","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/82/22204771001_25965101001_vs-22204771001-vid25961762001-img0000.jpg"" />","bc_25956576001","qzM9sYiopoEx","All","","","","","","","No","02/04/2013 15:18","55.959","pl, ro","","",
"History of Independence Day","In a History of the Holidays video, discover the origin of the 4th of July and its traditional celebrations. Although twelve American colonies declared their independence from Britain on July 2nd, 1976, the 4th of July is the day most remembered.","36938989001","","","","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/655/1119379849_1578055065_6352b32770ff068d8b63cca4d29edda60c000b76.jpg"" />","history_holidays_july4_broadband","eo2oJn9IXzxI","All","","","","","","","No","28/03/2013 21:18","292.866","pl, ro","","",
"TDIH Jul 31","","24673930001","July","31","","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/275/22204771001_24680297001_vs-22204771001-vid24674544001-img0000.jpg"" />","bc_24673930001","vbn4KRcwbDKe","All","","","","","","","No","02/04/2013 14:34","55.384","pl, ro","","",
"Ancient Aliens 4","","2094723424001","","","Ancient Aliens","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/71/22204771001_2111704117001_961896998-154-1358871273627.jpg"" />","bc_2094723424001","5OE8kdGHHTWg","All","","","","","","","No","03/04/2013 16:18","63.400","pl, ro","","",
"Wojny magazynowe – Teksas: Klip 1","""Wojny magazynowe – Teksas"" udają się do największego stanu w USA śladem uczestników aukcji poszukujących okazji.","2310175478001","","","","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/263/bc_2310175478001_still.jpg"" />","bc_2310175478001","AgvUk1rk6dga","All","","","","","","","No","24/05/2013 18:56","105.326","pl, ro","","",
"PAWN STARS 8 Clip 1 Ep 2","","2443577249001","","","Pawn Stars","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/591/PAWN_STARS_8_Clip_1_Ep_2_still_720x406_32767555852.jpg"" />","0A42DD6F-C96E-CEEF-8BB0-1DA56F819C69","Ym9o6YpyxJfe","All","","","","","","","No","07/06/2013 7:59","167.602","pl, ro","","",
"PAWN STARS 8 Clip 2 Ep 3","PAWN STARS 8 Clip 2 Ep 3","2443310189001","","","Pawn Stars","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/591/PAWN_STARS_8_Clip_2_Ep_3_still_720x406_32768579569.jpg"" />","084AA536-BD59-BFEB-5B5F-1DA56F8221D1","FY0TD2MRMqIr","All","","","","","","","No","07/06/2013 7:59","83.824","pl, ro","","",
"Decoded 2: Flying Saucer?","Glowing saucer shaped objects are seen flying in a V formation and traveling at 1,700 mph across water. What was really seen?","2484263960001","","","Brad Meltzer&#039;s Decoded","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/198/Decoded_Ep_7_Clip_6_still_720x406_33747011572.jpg"" />","D84DEF5F-1940-3732-5499-52C37537FB20","Iukjny89vVBu","All","","DUPLICATE","","","","","No","17/06/2013 15:31","179.583","pl, ro","","",
"Bamazon","Eight unemployed Alabama construction workers head deep into the heart of the Guyanese jungle in search of Amazonian gold!","","","","Bamazon","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/119/Bamazon_S1_Generic_30s-_still_720x406_36019267840.jpg"" />","268AAAA9-03DA-3DFF-5343-A9292B9DED61","jB5SlsWOLP0Z","All","","DUPLICATE","","","","","No","04/07/2013 10:10","31.253","pl, ro","","",
"MANKIND The Story of All of US: Atomic Warfare","The Americans were terrified that the Germans were trying to develop the atomic bomb, so they had to get there first. It brought an end to the bloodshed of WWII and but was it ethical?","2125898489001","","","MANKIND the story of all of us","","<img src=""http://dlaetniuk.edgesuite.net/AETNI_UK_History/1/447/22204771001_2125983468001_vs-5107c024e4b0fa1a82690767-590065938001.jpg"" />","bc_2125898489001","FRzdr_JSPtle","All","","","","","","","No","28/03/2013 20:36","198.438","pl, ro","","",
